country,Region,Surface.area..km2.,Population.in.thousands..2017.,Population.density..per.km2..2017.,Sex.ratio..m.per.100.f..2017.,GDP..Gross.domestic.product..million.current.US..,GDP.growth.rate..annual....const..2005.prices.,GDP.per.capita..current.US..,Economy..Industry....of.GVA.,Employment..Industry....of.employed.,Employment..Services....of.employed.,Unemployment....of.labour.force.,Labour.force.participation..female.male.pop....,Population.growth.rate..average.annual...,Urban.population....of.total.population.,Urban.population.growth.rate..average.annual...,Fertility.rate..total..live.births.per.woman.,Life.expectancy.at.birth..females.males..years.,Population.age.distribution..0.14...60..years....,International.migrant.stock..000...of.total.pop..,Education..Government.expenditure....of.GDP.,Education..Primary.gross.enrol..ratio..f.m.per.100.pop..,Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..,Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..,totalSmokingRate
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,34.5,14.6,61.7,0.8,74.7/80.8,0.9,34.1,2.5,2.3,68.3/63.7,26.8/9.4,73.3/0.1,-99,98.3/101.0,52.0/50.6,14.9/12.1,19
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,30.6,14.6,56.3,24.9,56.4/64.3,2.2,46.7,4.2,3.6,64.3/59.1,36.7/5.5,93.9/3.8,...,109.5/113.3,.../...,.../...,25.15
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,59.9,-99,-99,23,49.3/78.9,2.3,100,0.2,3.9,64.8/57.8,39.5/4.0,3.2/31.1,-99,100.4/109.5,83.4/81.9,-99,47.5
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,14.9,10.9,16.5,3,79.7/86.7,1.2,18.6,3.2,2.3,70.4/67.4,30.9/8.8,518.3/1.8,3.7,141.2/130.7,72.2/67.1,15.1/14.8,24.1
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,20,15.9,81.9,5.6,57.3/69.7,0.3,90.5,1,1.7,83.1/79.4,16.4/25.0,1979.5/11.7,5.5,104.4/105.0,136.3/134.7,82.5/74.7,25.05
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,19.1,14.4,23.3,2.7,40.4/89.2,3.8,18.7,5.1,7.4,59.5/57.6,50.2/4.2,189.3/1.0,6.7,66.8/77.9,17.2/24.2,0.9/2.6,9.4
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.4,14.7,57.4,5.4,48.5/64.3,2.7,47.8,4.7,5.7,52.6/51.2,44.0/4.5,1199.1/0.7,-99,92.8/94.5,53.5/57.8,8.3/11.8,9.25
Niue,Polynesia,260,2,6.2,100,-99,-99,-99,-99,...,...,...,.../...,-0.1,42.5,-0.9,2.6,76.3/70.1,22.8/20.1,0.6/34.6,-99,120.2/147.2,114.1/104.1,-99,15.85
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,34.6,20.2,77.6,5.1,61.1/68.3,1.2,80.5,1.3,1.8,83.6/79.5,17.8/22.3,741.8/14.2,7.4,100.3/100.5,111.1/114.7,91.5/62.8,22.25
Oman,WesternAsia,309500,4636,15,192.8,69832,5.7,15550.8,51.1,39.6,55.4,17.8,30.1/85.4,6.5,77.6,8.5,2.9,78.7/74.5,21.8/4.0,1845.0/41.1,5,111.2/107.4,107.9/101.0,-99,11
