country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
Brunei Darussalam,South-easternAsia,5765,429,81.3,106,12930,-0.6,30552.7,,60.2,,,19.4,80.1,2.1,50.6/75.0,,,,,,,1.4,77.2,1.8,1.9,78.4/75.1,23.0/8.0,102.7/24.3,,,,,4.4,108.2/108.1,96.3/95.9,38.6/23.5
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,,27.6,,,29.4,64.1,8.1,48.5/60.1,,,,,,,-0.6,73.9,-0.3,1.5,77.8/70.8,14.2/27.7,102.1/1.4,,,,,4.1,96.7/97.7,97.4/100.5,82.9/65.4
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,,21.8,,,4.9,15.1,2.9,76.5/90.5,,,,,,,3,29.9,5.9,5.6,59.3/58.0,45.2/3.9,704.7/3.9,,,,,4.1,86.1/89.9,32.2/35.1,3.8/7.3
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,-4.1,244.6,,13.9,,,2.6,6.3,1.7,84.6/82.7,,,,,,,3,12.1,5.7,6,58.0/54.2,45.0/4.4,286.8/2.6,,,,,5.4,124.5/123.1,40.5/44.5,2.4/7.7
Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1603,1.5,3080.2,,19.8,,,11.5,61.3,10.5,53.7/84.6,,,,,,,1.2,65.5,2,2.5,74.0/70.1,30.2/6.9,14.9/2.9,,,,,5,106.9/112.8,98.3/87.7,25.2/18.1
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,,29.4,,,19.6,38,0.3,75.6/87.0,,,,,,,1.6,20.7,2.6,2.7,69.6/65.5,31.3/7.1,74.0/0.5,,,,,1.9,116.2/117.1,.../...,11.8/14.3
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,,28.3,,,8.7,29.5,4.6,71.1/81.2,,,,,,,2.7,54.4,3.6,5,57.7/55.1,42.7/4.8,382.0/1.6,,,,,3,110.7/123.5,53.5/62.6,15.2/19.7
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,,28.6,,,19.5,78.4,7.1,60.7/69.9,,,,,,,1,81.8,1.2,1.6,83.8/79.7,16.0/23.5,7835.5/21.8,,,,,5.3,101.1/100.1,110.0/109.8,.../...
Cayman Islands,Caribbean,264,62,256.5,100.4,3726,0.7,62132,,7.5,,,15.5,83.6,6.3,80.6/85.6,,,,,,,1.5,100,1.5,...,.../...,18.3/6.7,23.7/39.6,,,,,-99,-99,-99,-99
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,4.8,333.2,,24.8,,,4.3,23.4,6.9,71.9/84.6,,,,,,,0.4,40,2.6,5.1,51.0/47.8,43.2/5.5,81.6/1.7,,,,,1.2,79.8/107.3,11.8/23.0,1.5/4.1
Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,6.6,713,,39,,,2,21.4,5.8,64.0/79.3,,,,,,,3.3,22.5,3.4,6.3,52.8/50.5,47.1/4.0,517.0/3.7,,,,,2.8,88.0/114.6,14.0/30.7,1.1/5.7
Channel Islands,NorthernEurope,180,165,870.1,98.4,-99,-99,-99,,-99,,,24.5,70.5,8.7,49.9/65.4,,,,,,,0.5,31.5,0.8,1.5,82.4/78.7,14.5/24.5,82.3/50.3,,,,,-99,-99,-99,-99
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,,32.8,,,22.9,67.5,6.8,50.7/74.7,,,,,,,0.9,89.5,1.1,1.8,81.3/76.2,20.3/16.0,469.4/2.6,,,,,4.9,100.0/103.3,101.3/100.0,94.4/83.0
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,2.4,42431,,7.2,,,14.9,84.9,3.5,52.6/67.8,,,,,,,0.6,100,0.7,1.2,86.4/80.5,11.5/23.5,2838.7/38.9,,,,,3.3,-99,98.8/102.8,73.7/63.5
"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,46178,-20.3,78586.4,,6.6,,,17.7,82.1,3.2,65.6/76.4,,,,,,,2.3,100,1.8,1.2,86.2/80.3,13.3/16.1,342.7/58.3,,,,,2,99.7/101.1,95.9/97.0,86.3/65.2
