country,Region,Surface.area..km2.,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Industry (% of GVA),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Total Smoking Rate
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,26.5,30.4,51.7,25.4,0.596521739,-1,39.8,0.1,1.3,0.602564103,38.66666667,-99,NA,NA,NA,38.6
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,22.7,21.5,63.2,12.4,0.716112532,0.9,85.7,1.2,1.8,1.722222222,2378.666667,6,0.974315068,1.051440329,1.398584906,15.3
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,27.6,29.4,64.1,8.1,0.806988353,-0.6,73.9,-0.3,1.5,0.512635379,72.92857143,4.1,0.989764585,0.969154229,1.267584098,35.3
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,21.8,4.9,15.1,2.9,0.845303867,3,29.9,5.9,5.6,11.58974359,180.6923077,4.1,0.957730812,0.917378917,0.520547945,20.25
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,29.4,19.6,38,0.3,0.868965517,1.6,20.7,2.6,2.7,4.408450704,148,1.9,0.992314261,NA,0.825174825,23.45
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,28.3,8.7,29.5,4.6,0.875615764,2.7,54.4,3.6,5,8.895833333,238.75,3,0.896356275,0.854632588,0.771573604,22.35
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,28.6,19.5,78.4,7.1,0.868383405,1,81.8,1.2,1.6,0.680851064,359.4266055,5.3,1.00999001,1.001821494,NA,14.95
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,32.8,22.9,67.5,6.8,0.678714859,0.9,89.5,1.1,1.8,1.26875,180.5384615,4.9,0.968054211,1.013,1.137349398,38
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,41.1,23.9,49.1,4.6,0.810810811,0.5,55.6,3,1.6,1.092592593,9780,-99,1.002884615,1.025751073,1.185463659,24.7
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,34,16.6,69.9,10.5,0.726817043,1,76.4,1.7,1.9,2.025862069,443.6666667,4.5,0.967071057,1.070675105,1.163106796,11.1
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,1368.9,4,5.2,32.8,20,0.449056604,2.4,28.3,2.7,4.6,8.12244898,7.875,4.3,0.93164794,1.068493151,0.816326531,14.55
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,21.5,19.1,69.3,8.6,0.613071895,1.1,76.8,2.7,1.9,1.588235294,47.92045455,7.2,0.994550409,1.04059652,1.306866953,13.4
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,26.6,26.8,64,11.7,0.792808219,-0.4,59,0.1,1.5,0.548507463,42.41911765,4.6,1.003067485,1.049009385,1.357142857,36.45
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,7656.6,20.5,11.7,75.3,3,0.616398243,0.2,77.1,0.1,1.7,0.7960199,133,NA,0.948051948,1.045824847,1.428571429,35.25
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,53149.3,22.9,19.2,78.4,6,0.88030303,0.5,87.7,0.6,1.7,0.652173913,56.68316832,8.6,0.984359726,1.039750585,1.381635581,17
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6373.6,28,16.9,70,14.4,0.665394402,1.2,79,2.6,2.5,2.87254902,106.5641026,NA,0.913043478,1.102564103,1.836158192,14.1
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,34.1,19.2,55.1,5.8,0.614518148,1.6,63.7,1.9,2.6,2.704761905,161.4583333,5,1.004655493,1.037037037,1.309248555,8.65
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,36.3,25.3,49.3,11.5,0.303149606,2.2,43.1,1.7,3.4,4.240506329,983.2,NA,0.997118156,0.995365006,0.964769648,25.1
